id,created_at,source,original_text,clean_text,sentiment,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,possibly_sensitive,hashtags,user_mentions,place,place_coord_boundaries
1240153115392868355,Wed Mar 18 05:48:38 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Auger1: Ancestors spoke of a TIME where humanity would go through a period of great tribulation - to understand the true sacredness &amp; s…,Ancestors spoke TIME humanity would go period great tribulation understand true sacredness amp s…,"Sentiment(polarity=0.575, subjectivity=0.7)",0.575,0.7,en,0,21,MamabearBlackb1,,,Auger1,,
1240153104642867209,Wed Mar 18 05:48:35 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @LoisHoleSchool: Sending our love to our students and families @StAlbertPublic  #love #hope #light https://t.co/TsfXahDkcJ,Sending love students families,"Sentiment(polarity=0.5, subjectivity=0.6)",0.5,0.6,en,0,21,todd_emily,False,"love, hope, light","LoisHoleSchool, StAlbertPublic",Saint Albert,
1240153054537822208,Wed Mar 18 05:48:23 +0000 2020,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",RT @ChinaDaily: #OneMoment Mandarin duck is a symbol of #love in Chinese culture. Take a look at these lovely couples.💕💕💕 #mandarinduck htt…,Mandarin duck symbol Chinese culture Take look lovely couples htt…,"Sentiment(polarity=0.25, subjectivity=0.375)",0.25,0.375,en,0,76,advherk,,"OneMoment, love, mandarinduck",ChinaDaily,"Ankara, Türkiye",
1240153018496155648,Wed Mar 18 05:48:15 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @Amazingstuffguy: Barber gives homeless man his 1st hair cut in years. The haircut made him look like a different person. Give someone a…,Barber gives homeless man st hair cut years The haircut made look like different person Give someone a…,"Sentiment(polarity=0.0, subjectivity=0.6)",0.0,0.6,en,0,9,Akosua_phocus,,,Amazingstuffguy,"Accra, Ghana",
1240152989979086849,Wed Mar 18 05:48:08 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","🔴 Location: Antalya Turkey 🇹🇷

✈🌍 We Plan, You Travel 🌍✈

#shetravelspakistan #weplanyoutravel #antalya #konyaalti… https://t.co/Dr7JmXE8zr",Location Antalya Turkey 🇹🇷 We Plan You Travel …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,shetravelspk,False,"shetravelspakistan, weplanyoutravel, antalya, konyaalti",,"Karachi, Pakistan",
1240152961847889921,Wed Mar 18 05:48:01 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RT @Paula_White: “I will say of the Lord, “He is my refuge and my fortress, my God, in whom I trust.” #Psalm91 #trust #faith #love",“ I say Lord “ He refuge fortress God I trust ”,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,254,muchemi23,,"Psalm91, trust, faith, love",Paula_White,Nairobi,
1240152936174489605,Wed Mar 18 05:47:55 +0000 2020,"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft Power Platform</a>","It's : 2020-03-18T05:47:55.2075217Z 

#tuesdaymotivation #funny #pets #followme #f4f #c4c #shout #love #me #cute… https://t.co/P1jNdPn29h",It 's -03-18T05:47:55.2075217Z …,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,Kada_soulayman,,"tuesdaymotivation, funny, pets, followme, f4f, c4c, shout, love, me, cute",,Ả̷͓̥͕̤͆̇͘͝ŗ̴͍͉̳̲́̌̂͆̍̀̍̓͝k̵͝,
1240152928268226561,Wed Mar 18 05:47:53 +0000 2020,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RT @RaelleLogan1: A Pirate's Past may Shatter his Future #gamedev #booklovers #books #romance #book #Romance #historicalromance #weekendrea…,A Pirate 's Past may Shatter Future …,"Sentiment(polarity=-0.125, subjectivity=0.1875)",-0.125,0.1875,en,0,2,file2save,,"gamedev, booklovers, books, romance, book, Romance, historicalromance",RaelleLogan1,,
1240152916222238721,Wed Mar 18 05:47:50 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fresh Burnaboy - Odogwu Afrobeat type Beat vibe

Checkout full beat👉 https://t.co/VVydYOCyAq

#beats #producer… https://t.co/6P9npBYtXH",Fresh Burnaboy Odogwu Afrobeat type Beat vibe Checkout full beat …,"Sentiment(polarity=0.32499999999999996, subjectivity=0.525)",0.32499999999999996,0.525,en,0,0,Djhobbygh,False,"beats, producer",,Ghana-West Africa,
1240152893786816513,Wed Mar 18 05:47:45 +0000 2020,"<a href=""https://socialrabbitplugin.com"" rel=""nofollow"">SocialRabbit Plugin</a>",#beautiful #love Girl's Polka Dot Dress with Animal Applique https://t.co/pewIkAKJKb https://t.co/LLYyFKVN17,Girl 's Polka Dot Dress Animal Applique,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,0,abnshops,False,"beautiful, love",,,
1240152873272557571,Wed Mar 18 05:47:40 +0000 2020,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT @zzxyxy: I have and can’t wait for them to put me on a journey where we all think alike and work towards taking our house back and Re-el…,I ’ wait put journey think alike work towards taking house back Re-el…,"Sentiment(polarity=0.0, subjectivity=0.0)",0.0,0.0,en,0,14,michaelvalsi,,,zzxyxy,Indiana,
